word,zipf,in_top50k,levels_used
beagle,3.06,1,60 198
beak,3.3,1,9 95
beaker,2.8,1,161
beam,4.14,1,132 149 170
beanie,2.99,1,115 133 140
beans,4.14,1,43 125
bear,4.71,1,31 59 133 153
beard,4.07,1,126 149
bears,4.34,1,90
beat,5.01,1,46 111 133 136 137
beauty,4.75,1,78
beaver,3.61,1,56 103
bed,5.07,1,2 4 6 14 87 92 112 194
bedrock,3.28,1,104
bedroom,4.46,1,14 112 194
bee,4.09,1,5 25 68 77 122 124 144 173 189
beef,4.29,1,60
beep,3.45,1,133 139
beer,4.7,1,91 198
beet,3.05,1,77 126
beethoven,3.41,1,31
beetle,3.53,1,77 89 122 173 180 189
beginner,3.52,1,198
behavior,4.69,1,104
beijing,4.12,1,31
belarus,3.46,1,46
bell,4.59,1,105 107 120 135 153
bellbottom,0.0,0,178
belly dance,4.1,1,96
belt,4.42,1,3 115 171 176
beluga,2.69,1,53 123
bench,4.39,1,53 72 125
bengal,3.68,1,179
beret,2.92,1,47 115
berlin,4.38,1,91 92 157
bermuda,3.52,1,192
berries,3.57,1,14 37
berth,3.44,1,173
bet,4.79,1,139 174
beta,4.2,1,84 122 199
betelgeuse,2.05,0,93
betta,2.79,1,190
bezel,2.8,1,171
biathlon,2.68,1,191
biceps,3.06,1,139
bicycle,3.98,1,1 27 140 143 151
big bang,4.32,1,95
big ben,4.69,1,114 115 158
big ears,4.36,1,28
big max,4.66,1,95
bigfoot,3.16,1,92 130 136
bike,4.53,1,54 83
bikini,3.7,1,147
bilby,1.95,0,184
billboard,3.87,1,131
binary,3.95,1,147
bingo,3.71,1,133 157
binoculars,3.1,1,93
bio,4.07,1,165
biography,3.89,1,11 81 183
biological,4.31,1,119
biology,4.22,1,49 64
biosphere,2.89,1,140
biplane,2.46,0,123
birch,3.5,1,25 131 177
bird,4.63,1,5 8 9 32 68 95 158
birdie,3.26,1,190
birds,4.6,1,51 77 79 173 199
birria,1.28,0,154
birth,4.77,1,109
birthday,4.76,1,73 199
birthmark,2.45,0,129
biscuit,3.45,1,130
bishop,4.38,1,14 31 93
bismarck,3.17,1,192
bison,3.26,1,9 97
bisque,2.45,0,76 158
bitcoin,4.24,1,28 117 194
bite,4.31,1,191
biting,3.77,1,169
bitter,4.21,1,9 52 169
black,5.46,1,12 31 50 61 105 160
black bear,4.71,1,90
black hole,4.66,1,95
blackbeard,2.56,1,99
blackjack,3.16,1,75 163
blackout,3.58,1,160
bladderwort,1.19,0,91
blade,4.19,1,124 149
blanch,2.54,0,156
blanket,4.07,1,6 14 92 126 147
bleach,3.51,1,15
blemish,2.85,1,131
blender,3.43,1,38 131 161
blending,3.44,1,115
blessing,4.06,1,163
blind,4.52,1,111
blink,3.73,1,167
blizzard,3.53,1,8 76 125 164
block,4.88,1,59 140
blocks,4.43,1,139 145 196
blood,5.1,1,21 28 52 92 117
blood pressure,5.01,1,139
bloom,3.93,1,20 66
blossom,3.62,1,20 66
blowdryer,1.22,0,44
blu-ray,3.7,0,133
blue,5.13,1,1 10 22 53 123 148
bluebell,2.53,0,37
blueberry,3.3,1,14 37
blueprint,3.48,1,104 166
blueprints,3.14,1,178
blues,4.34,1,13
bluetooth,3.75,1,69
bluff,3.58,1,75 128 193
blunder,3.13,1,181
blush,3.56,1,136 167
bmi,3.43,1,139
bmw,3.92,1,61 108
bmx,2.98,1,165
boa,3.18,1,101 113 135
board,5.24,1,13 100
boat,4.71,1,7 54 91 99
bobsleigh,2.65,1,89
bog,3.34,1,172
bogey,2.92,1,190
boggle,2.27,0,169
bogota,2.9,1,105
boil,3.83,1,27 36 132
boiled,3.68,1,39 164
boiling,3.75,1,144
bold,4.26,1,155 160
bolt,4.04,1,191
bomb,4.6,1,178
bond,4.59,1,186
bonds,4.27,1,117 156
bone,4.47,1,6
boning,2.5,0,154
bonobo,2.38,0,175 182
book,5.43,1,3 29 35 60 86 88 129 189
books,5.15,1,30 77 100
bookstore,3.42,1,77
boom,4.33,1,151
boombox,2.38,0,124
booster,3.56,1,145 191
boots,4.33,1,86 88 133 166 171
boreal,2.69,1,174
borneo,3.09,1,83
borscht,2.26,0,153
boson,2.76,1,110 159
boston,4.67,1,28
bottle,4.57,1,111 141 187
bottom,4.84,1,128
bouillon,2.54,0,184
bounce,4.02,1,182
bouquet,3.41,1,82 95
boutique,3.54,1,199
bow,4.3,1,33 74 100 128 143
bowhead,1.9,0,182
bowl,4.63,1,61
bowline,1.85,0,110
bowling,4.05,1,100 159
boxers,3.41,1,143
boxes,4.34,1,87
boxing,4.17,1,164
boycott,3.81,1,131
bracelet,3.7,1,68 87 111
brackets,3.59,1,135 158
braid,3.24,1,125 136 168
braids,3.01,1,121
brain,4.94,1,19 25 63 92 111 153
brain teaser,3.47,1,24
brake,3.95,1,2 138
branch,4.58,1,9 67
brand,4.83,1,109
brass,4.05,1,177
brassiere,2.0,0,143
brave,4.33,1,6
brazil,4.58,1,59
breach,4.13,1,197
bread,4.5,1,3 5 14 47 98 102 130
breadline,1.76,0,196
break,5.18,1,151 159
breakdance,1.98,0,96
breakfast,4.61,1,4 59 125 157 159
breakwater,2.65,1,173
breastplate,2.49,0,143 188
breaststroke,2.67,1,164
breath,4.52,1,60 165 198
breathe,4.26,1,19
breathing,4.28,1,108 134
breeze,3.86,1,119 168
brew,3.64,1,42
brick,4.25,1,17 27 48 132
bricks,3.81,1,166
bride,4.08,1,50 121
bridge,4.77,1,47 170 175
brie,3.08,1,23 115 195
briefs,3.31,1,143
brigade,3.9,1,149
brigantine,2.18,0,103
bright,4.61,1,161
brioche,2.57,1,130 178
brisk,3.2,1,169
british,5.18,1,104
broad,4.53,1,181
broadcast,4.39,1,62 69 124 160
broadhead,2.0,0,130
broadsword,2.29,0,93 167
broccoli,3.5,1,8 105 127 147
brochure,3.37,1,29 34
broken,4.88,1,155
brokers,3.67,1,106
bronx,3.65,1,190
bronze,4.2,1,168
brooklyn,4.25,1,153 185 190
broom,3.42,1,87 153 183 185 188
broth,3.39,1,43
brother,5.11,1,8 137 178
brow,3.55,1,25
brown,5.01,1,22
brownie,3.21,1,2 38 158
bruise,3.18,1,174
brunch,3.46,1,159
bruno mars,3.81,1,180
brush,4.23,1,26 49 188 193
bubble,4.16,1,176
bubblegum,2.81,1,40
bubbles,3.79,1,77
bucket,4.07,1,40 138
buckingham,3.52,1,115
buckle,3.5,1,169 174
buckteeth,1.08,0,103
budapest,3.55,1,31
buddha,3.79,1,96
buddhism,3.63,1,150 168
buddy,4.4,1,159
budget,4.82,1,62
buenos aires,3.55,1,105
buffalo,4.14,1,9 66 97
bugs,4.04,1,180
builder,3.85,1,166
builders,3.8,1,17
building,5.29,1,170
bulb,3.66,1,81
bulgaria,3.9,1,21
bulk,4.19,1,192
bulldog,3.38,1,60 105 198
bulldozer,2.88,1,17 48
bullet,4.24,1,120 168
bullfight,2.19,0,65 91
bullfighting,2.46,0,97
bulls,3.97,1,97
bullseye,2.8,1,79
bumper cars,3.69,1,142
bun,3.56,1,48 125 136 168
bungalow,3.34,1,31 65 85 184
bungee,2.84,1,78
bungee cord,2.84,1,27
bungee jumping,2.84,1,68 180
bunk,3.45,1,194
bunker,3.67,1,40 173
bunny,3.88,1,20 66 95
buoy,3.0,1,173
burger,4.07,1,8 32 45 48 90 103 131 136 157 184
burglar,3.34,1,41
burn,4.53,1,49 150
burner,3.54,1,161
burp,2.81,1,199
burrata,1.88,0,51
burrow,3.1,1,75 84 129 182
bus,4.83,1,1 54 59 108
bush,4.49,1,12
bushido,2.28,0,154
business,5.56,1,39
bust,4.04,1,28
butte,3.09,1,160
butter,4.4,1,5 23 40 170
butterfly,3.93,1,25 32 42 89 122 124 158 164
butternut,2.66,1,155
button,4.56,1,84 169
buttons,3.98,1,158
buzz,4.05,1,162 166
buzzer,3.4,1,133 139
c4,3.25,1,130
cabana,2.7,1,186
cabbage,3.55,1,14
cabernet,2.88,1,170
cabin,4.13,1,85
cabinet,4.49,1,92
cable,4.54,1,158 170
cables,3.87,1,182
cackle,2.41,0,164
cactus,3.4,1,45 50 78 89 105 142 182 186 199
cadbury,2.91,1,165
caesar,3.8,1,23 88 114 145 156 158 162 188
cafe,4.09,1,116
caffeine,3.67,1,125
cage,4.13,1,74 77
caiman,2.21,0,135
cair paravel,1.18,0,65
cairo,3.84,1,12 81 157
cake,4.53,1,5 47 62 73 77 97 106 145 184
cakes,3.85,1,130
calcite,2.62,1,66 104
calcium,3.82,1,11
calculus,3.6,1,152
calendar,4.3,1,55 127 176
calico,2.88,1,179
calico jack,2.88,1,99
california,5.0,1,196
caliper,2.65,1,135
call,5.51,1,82 112 139 150 174
calm,4.54,1,126
calorie,3.59,1,196
cambodia,3.71,1,88
cambridge,4.39,1,149
camel,3.64,1,78 86 102 186
camera,4.87,1,35 87 107 191
camouflage,3.42,1,74 114
camp,4.79,1,79
campaign,5.0,1,36
campfire,3.1,1,57
campus,4.51,1,77
can,6.46,1,77 185
canada,4.97,1,64 85
cancer,4.93,1,94
candle,3.88,1,38 60 73 81 95 122
candles,3.82,1,97 181
candy,4.29,1,2 72 77 95
candy cane,3.76,1,78
cane,3.76,1,126
canine,3.33,1,162
cannellini,1.59,0,43
cannon,4.02,1,56
canoe,3.5,1,147 171
canopy,3.52,1,152 182
canter,2.72,1,126
cantilever,2.72,1,149
canvas,3.96,1,26 49 193
canyon,3.96,1,18 45 59 105 128 184
cap,4.51,1,11 47 133 140 197
capital,5.01,1,92 156
capitalism,3.97,1,118
cappuccino,2.87,1,31 38 61 88 123 132
caprese,1.96,0,158
capsule,3.7,1,173 177
capsules,3.33,1,47
captain,4.89,1,69 71 144 148 149
captain america,4.89,1,165
captains,3.62,1,99
capture,4.42,1,193
capuchin,2.37,0,198
car,5.45,1,1 2 54 74 83 98 108 118 120 151
caracal,1.99,0,197
caravan,3.62,1,102
carbohydrate,3.17,1,61
carbon dioxide,3.81,1,52 98
card,5.04,1,88 142 165 194
card trick,4.48,1,135
cardinal,3.9,1,79
cardio,3.44,1,185
cards,4.76,1,75
care,5.56,1,94
career,5.07,1,183
carefully,4.46,1,174
cargo,4.19,1,192
cargo ship,4.19,1,171
carnitas,2.04,0,154
carnival,3.86,1,187
carol,4.02,1,73 169
carp,3.18,1,69 151 166
carpenter,3.81,1,17
carpentry,2.97,1,45 176
carport,2.25,0,161
carriage,3.85,1,135
carrot,3.62,1,2 8 37 75 77 105 126 127 147 189
carthage,3.06,1,41
cartographer,2.37,0,178
cartoons,3.74,1,185
cartridge,3.57,1,107
carve,3.41,1,189
carving,3.51,1,28 45
case,5.55,1,69 79
cash,4.92,1,28 30 44 142 194
cashew,2.75,1,5 17
cashier,3.57,1,77
cashmere,3.12,1,153
casio,2.73,1,87
cassette,3.4,1,194
cassiopeia,2.38,0,70
cast,4.79,1,122
castanets,2.01,0,168
castle,4.45,1,47 57 142 143 193
castling,1.67,0,70
casual,4.23,1,39 109
cat,4.78,1,5 13 77 95 158
catalog,3.91,1,35
catalyst,3.76,1,135
catcher,3.54,1,11
catfish,3.35,1,69 151
cathedral,3.99,1,156
caucus,3.58,1,172
cauldron,3.06,1,164 183
cauliflower,3.2,1,8
cave,4.2,1,40 51 77 190
cavern,3.08,1,128 129
cavity,3.61,1,85 121
caw,2.57,1,82
cd,4.36,1,133
cedar,3.76,1,25
ceiling,4.18,1,167
celery,3.32,1,8
cell,4.87,1,140 156
cello,3.29,1,72 164
cellophane,2.6,1,139
cells,4.75,1,28 102
cement,3.94,1,48
cent,4.83,1,30
centimeter,2.89,1,7
centipede,2.79,1,96 184
central,5.12,1,7
central park,5.12,1,106
centrifuge,2.81,1,161
centromere,1.75,0,196
century,5.02,1,71 101 176
ceo,4.46,1,159
cerberus,2.77,1,126
cereal,3.74,1,39 59 102 113 159
cerebellum,2.67,1,111
cerebrum,2.18,0,63 111
ceremony,4.42,1,121
certificate,4.29,1,140
chain,4.65,1,27 65 111 140 143
chair,4.69,1,2 4 12 29 74 84 87 107 116 161
chalk,3.69,1,68
chalkboard,2.77,1,141
chamber,4.47,1,46 47 55 111 136 160
chameleon,3.1,1,79 113 135
champagne,3.9,1,164
chance,5.26,1,172
chanel,3.49,1,74 125
channel,4.85,1,160
chant,3.6,1,131
chanterelle,1.78,0,189
chapel,4.03,1,53
chapter,4.65,1,35
charger,3.64,1,35 191
chariot,3.29,1,38
charlie,4.43,1,135
charm,4.12,1,58 147 172
charms,3.54,1,36
charon,2.44,0,126
cheat,4.06,1,193
check,5.31,1,193
checkers,3.1,1,14 60 129
checkmate,2.98,1,70
cheddar,3.29,1,23 115 195
cheek,3.96,1,111 168
cheeks,3.82,1,6 63
cheer,4.06,1,35
cheese,4.57,1,5 48 51 108 115 170 195
cheesecake,3.22,1,18 97 158
cheetah,3.2,1,13 28 100 197
chef,4.23,1,4 24 27 58 86 94 180
chemical,4.57,1,90 119 168
chemist,3.51,1,181
chemistry,4.35,1,64 190
cherokee,3.45,1,67
cherry,4.18,1,14 21 141
cherry juice,4.18,1,28
chess,3.94,1,13 14 31 60 129
chest,4.52,1,105
chestnut,3.46,1,138 163
chew,3.66,1,191
chicago,4.83,1,92
chicken,4.63,1,60 194
chicken noodle,3.42,1,43 96
chickpeas,2.7,1,43
chiffon,2.79,1,153
childhood,4.51,1,60
chile,4.06,1,59
chili,3.73,1,105
chimera,2.85,1,163
chimney,3.55,1,27 29 73 173 186
chimpanzee,2.96,1,175
chin,4.0,1,168
china,5.1,1,42 88 132
chinstrap,1.96,0,71 183
chipmunk,2.74,1,127
chipped,3.25,1,155
chips,4.21,1,75 122 131
chirp,2.79,1,82 127
chisel,2.96,1,45 110 149 166
chlorophyll,2.75,1,146
chocolate,4.49,1,12 82 97 108 134 142 163 165
choir,3.88,1,172
chokehold,2.29,0,174
chomp,2.53,0,191
chop,3.77,1,132
chopin,2.94,1,31
chord,3.65,1,192
chorizo,2.77,1,10
chortle,2.11,0,164
chorus,3.9,1,198
chowder,2.78,1,43 76 153 158
christianity,4.19,1,150 168
christmas,4.91,1,65 73 83 95
chrome,3.9,1,175
chromium,3.14,1,18
chromosome,3.48,1,118
chronicle,3.7,1,189
chronometer,2.31,0,135
chuckle,3.52,1,194
church,5.16,1,182
churro,2.18,0,180
ciabatta,2.01,0,14
cilantro,2.89,1,58
cinderella,3.45,1,21 95
cinema,4.17,1,19 130
cinnamon,3.7,1,43 174
cipher,3.12,1,26 61 125 147 188
circle,4.55,1,2 136
circuit,4.47,1,43
circular,3.96,1,165
circulation,3.96,1,134
circus,3.98,1,40 54 130
citrus,3.58,1,155
city,5.61,1,92
civic,4.0,1,188
clam,3.22,1,23 93 169
clamp,3.45,1,129 165 166
clap,3.54,1,82
clarinet,3.12,1,120 129 161
classic,4.72,1,183
classical,4.26,1,11 138
classified,4.26,1,185
clause,3.99,1,70 127 172 197
clavicle,2.51,0,175
claw,3.59,1,139
claws,3.56,1,22 131 144
clay,4.29,1,16 176 180
claymore,2.42,0,167
clean,4.97,1,111
cleaning,4.39,1,121
cleanser,3.06,1,122
clear,5.25,1,22
cleats,2.88,1,134 153
cleaver,3.04,1,154
cleopatra,3.18,1,93 145 190
clerk,4.0,1,67
click,4.82,1,174 199
client,4.54,1,69 135
cliff,4.1,1,45 59 68 105
climate,4.71,1,100 130 155 178
climax,3.6,1,194
climbing,4.12,1,100
clinic,4.21,1,16 132
clinton,4.57,1,49
clip,4.26,1,169
clipper,3.06,1,103
cloak,3.57,1,166
clock,4.43,1,115 174 176
clocks,3.58,1,15
closet,4.13,1,92 112
clothing,4.47,1,98
cloud,4.46,1,2 117 161
clouds,4.16,1,22
clove,2.91,1,80
clover,3.36,1,162
clown,3.93,1,17 40 104
clownfish,2.18,0,79
clowning,2.63,1,147
club,5.2,1,13
clubs,4.51,1,14 128
clue,4.18,1,15 134 142 187
clues,3.82,1,102
cluster,3.99,1,177
clydesdale,2.47,0,151
cn tower,3.38,1,114
coal,4.49,1,51 90
coast,4.87,1,54 195
coat,4.36,1,86 132
cobalt,3.37,1,18 51 126
cobb,3.5,1,23 158 188
cobra,3.51,1,41 65 79 113 135 166 171 181
cockpit,3.6,1,78 120
cocktail,3.89,1,85
coconut,3.88,1,21 23 94 137 170 171 177
code,5.08,1,18 168 187
codename,2.6,1,125
codex,3.18,1,189
coelacanth,1.75,0,167
coexistence,2.9,1,154
coffee,4.86,1,5 6 61 88 90 125 131 191
coffee bean,3.98,1,42
coffee machine,4.86,1,38 42
coffin,3.8,1,52 92 117
cognition,3.34,1,104
coin,4.19,1,161 174
coincidence,3.96,1,172
coins,4.26,1,30 44
cold,5.02,1,5 7 76 139
cold cut,5.02,1,148
colditz,1.82,0,195
coliseum,3.17,1,154
collagen,3.25,1,17
collar,4.04,1,163 189
college,5.27,1,178
cologne,3.57,1,189
colombia,3.95,1,97
colonel,4.41,1,26
colony,4.12,1,34 123 124 150 182
color,4.91,1,145
colosseum,2.84,1,38 91 121 137 144 158 193
colt,3.57,1,130
column,4.33,1,140
comb,3.52,1,44
combustion,3.57,1,24
comedy,4.51,1,9 19 81 112 117 145 169
comets,3.19,1,7 140
comma,3.27,1,147 158 170
commander,4.51,1,149
commensalism,1.25,0,113
comment,4.88,1,113 133 157
commercial,4.92,1,131
commis,1.84,0,180
commodus,2.29,0,125
communism,3.8,1,118
compass,3.74,1,24 69 75 121 134 139 142 197
compassion,3.95,1,195
compendium,3.05,1,189
competition,4.91,1,113 154
compliment,3.91,1,176
composite,3.94,1,161
compost,3.21,1,27
compote,2.26,0,139
compound,4.18,1,103 181 184
compromise,4.15,1,185
computer,4.97,1,29 43 74 107
concessions,3.65,1,156
concierge,3.13,1,197
conclude,3.9,1,184 198
concrete,4.44,1,17 166
conditioner,3.39,1,152
conductor,3.8,1,62 65 69
cone,3.83,1,145 150
confederate,3.7,1,99
conference,5.01,1,159
confetti,3.03,1,85 164
confounding,2.83,1,180
confucius,3.1,1,76 164
congo,3.75,1,83
congress,4.9,1,55
console,4.08,1,103
consonants,2.95,1,68
constellation,3.37,1,63
contact,4.99,1,127
container,4.03,1,199
contamination,3.7,1,127
continent,4.07,1,140
continental,4.02,1,195
contract,4.94,1,69
control,5.4,1,180
control tower,4.5,1,39
controller,4.13,1,103 189
conveyor,3.28,1,173
cook,4.65,1,58 132
cookie,4.07,1,2 5 47 131
cookies,4.12,1,130
cooking,4.45,1,27 86 144
cool,5.15,1,7 139
